University,rk2018,rk2019,rk2020,rk2021,rk2022,rk2023,rk2024,rk2025,avgrk
Princeton University,1,1,1,1,1,1,1,1,1
Massachusetts Institute of Technology,5,3,3,4,2,2,2,2,2.875
Harvard University,2,2,2,2,2,3,3,3,2.375
Stanford University,5,7,6,6,6,3,3,4,5
Yale University,3,3,3,4,5,3,5,5,3.875
California Institute of Technology,10,12,12,9,9,9,7,6,9.25
Duke University,9,8,10,12,9,10,7,6,8.875
Johns Hopkins University,11,10,10,9,9,7,9,6,8.875
Northwestern University,11,10,9,9,9,10,9,6,9.125
University of Pennsylvania,8,8,6,8,8,7,6,10,7.625
University of Chicago,3,3,6,6,6,6,12,11,6.625
Cornell University,14,16,17,18,17,17,12,11,15.25
Brown University,14,14,14,14,14,13,9,13,13.125
Columbia University,5,3,3,3,2,18,12,13,7.375
"University of California, Los Angeles",21,19,20,20,20,20,15,15,18.75
Dartmouth College,11,12,12,13,13,12,18,15,13.25
"University of California, Berkeley",21,22,22,22,21,20,15,17,20
Rice University,14,16,17,16,17,15,17,18,16.25
Vanderbilt University,14,14,17,14,14,13,18,18,15.25
University of Notre Dame,18,18,15,19,19,18,20,18,18.125
University of Michigan--Ann Arbor,28,27,25,24,23,25,21,21,24.25
Washington University in St. Louis,18,19,19,16,14,15,24,21,18.25
Carnegie Mellon University,25,25,25,26,25,22,24,21,24.125
Georgetown University,20,22,24,23,23,22,22,24,22.5
Emory University,21,22,21,21,20,22,24,24,21.875
University of Virginia,25,25,28,26,25,25,24,24,25.25
University of North Carolina--Chapel Hill,30,30,29,28,28,29,22,27,27.875
University of Southern California,21,22,22,24,27,25,28,27,24.5
"University of California, San Diego",42,41,37,35,34,34,28,29,35
University of Florida,42,35,34,30,28,29,28,30,32
The University of Texas--Austin,56,49,48,42,38,38,32,30,41.625
New York University,30,30,29,30,28,25,35,30,29.625
"University of California, Davis",46,38,39,39,38,38,28,33,37.375
"University of California, Irvine",42,33,36,35,36,34,33,33,35.25
Georgia Institute of Technology,34,35,29,35,38,44,33,33,35.125
University of Illinois Urbana-Champaign,52,46,48,47,47,41,35,33,43.625
Boston College,32,38,37,35,36,36,39,37,36.25
Tufts University,29,27,29,30,28,32,40,37,31.5
"University of California, Santa Barbara",37,30,34,30,28,32,35,39,33.125
University of Wisconsin--Madison,46,49,46,42,42,38,35,39,42.125
Rutgers University--New Brunswick,69,56,62,63,63,55,40,41,56.125
Boston University,37,42,40,42,42,41,43,41,41
The Ohio State University,54,56,54,53,49,49,43,41,49.875
"University of Maryland, College Park",61,63,64,58,59,55,43,44,55.875
University of Rochester,34,33,29,34,34,36,47,44,36.375
University of Washington,56,59,62,58,59,55,40,46,54.375
Purdue University--Main Campus,56,56,57,53,49,51,43,46,51.375
Wake Forest,27,27,27,28,28,29,47,46,32.375
University of Georgia,54,46,50,47,48,49,47,46,48.375
Lehigh University,46,53,50,49,49,51,47,46,48.875
Virginia Tech,69,76,74,74,75,62,47,51,66
Texas A&M,69,66,70,66,68,67,47,51,63
Case Western,37,42,40,42,42,44,53,51,43.875
William & Mary,32,38,40,39,38,41,53,54,41.875
Northeastern University,40,44,40,49,49,44,53,54,46.625
Florida St,81,70,57,58,55,55,53,54,60.375
Minnesota,69,76,70,66,68,62,53,54,64.75
Stony Brook,97,80,91,88,93,77,58,58,80.25
NC State,81,80,84,80,79,72,60,58,74.25
UMass Amherst,75,70,64,66,68,67,67,58,66.875
Brandeis,34,35,40,42,42,44,60,63,45
Penn State,52,59,57,63,63,77,60,63,61.75
Michigan St,81,85,84,80,83,77,60,63,76.625
U of Miami,46,53,57,49,55,55,67,63,55.625
George Washington,56,63,70,66,63,62,67,63,63.75
Tulane,40,44,40,41,42,44,73,63,48.375
RPI,42,49,50,53,55,51,60,70,53.75
Connecticut,56,63,64,63,63,67,58,70,63
Pitt,68,70,57,58,59,62,67,70,63.875
Indiana,90,89,79,76,68,72,73,73,77.5
Syracuse,61,53,54,58,59,62,67,73,60.875
Binghamton,87,80,79,88,83,83,73,73,80.75
Stevens Inst Tech,69,70,74,80,83,83,76,76,76.375
UC Riverside,124,85,91,88,83,89,76,76,89
Col School of Mines,75,80,84,88,83,89,76,76,81.375
Univ at Buffalo,97,89,79,88,93,89,76,76,85.875
Clemson,67,66,70,74,75,77,86,80,74.375
Pepperdine,46,46,50,49,49,55,76,80,56.375
Delaware,81,89,91,97,93,89,76,86,87.75
WPI,61,59,64,66,63,67,82,86,68.5
UC Santa Cruz,81,70,84,97,103,83,82,84,85.5
Marquette,90,89,84,88,83,83,86,86,86.125
Drexel,97,124,132,133,127,105,93,86,112.125
Howard,110,89,104,80,83,89,115,86,94.5
SMU,61,63,64,66,68,72,89,91,71.75
Fordham,61,70,74,66,68,72,89,91,73.875
Baylor,75,78,79,76,75,77,93,91,80.5
American,69,78,77,76,79,72,105,91,80.875
Iowa,78,89,84,88,83,83,93,98,87
Yeshiva,94,80,97,76,68,67,105,98,85.625
Colorado,94,106,97,103,103,97,105,98,100.375
Auburn,103,115,107,97,99,97,93,105,102
TCU,78,80,97,80,83,89,98,105,88.75
Illinois Tech,120,129,139,124,122,127,98,105,120.5
Saint Louis,103,102,104,103,99,105,105,105,103.25
Tennessee,97,96,121,118,117,115,105,109,109.75
San Diego,90,85,91,88,93,97,98,109,93.875
Oregon,115,115,117,103,117,105,98,109,109.875
Brigham Young,61,63,77,80,79,89,115,109,84.125
Arizona,124,106,117,97,103,105,115,109,109.5
Missouri,115,129,130,124,122,121,124,109,121.75
New Hampshire,120,129,139,143,127,137,115,109,127.375
Arizona St,103,89,104,112,103,121,105,121,107.25
Iowa St,103,96,117,124,122,127,115,121,115.625
Denver,87,96,97,80,93,105,124,121,100.375
South Carolina,115,119,121,118,122,115,124,121,119.375
Vermont,103,106,104,118,117,121,133,121,115.375
Oklahoma,110,106,125,133,136,127,124,132,124.125
Clark,81,66,91,103,103,97,142,132,101.875
Loyola Chicago,103,115,104,112,103,115,142,132,115.75
Miami Oh,78,89,91,103,103,105,133,136,104.75
Dayton,133,147,132,133,127,127,133,136,133.5
Michigan Tech,124,140,166,153,148,151,151,148,147.625
Colorado St,133,147,153,160,148,151,151,148,148.875
Kansas,124,102,117,124,127,121,151,152,127.25
Clarkson,94,102,97,133,103,127,142,152,118.75
Kentucky,87,106,121,143,136,137,159,152,130.125
Nebraska,124,127,132,133,127,151,159,152,138.125
Alabama,103,106,125,143,148,137,170,171,137.875
Catholic,124,136,147,153,148,176,178,171,154.125
Tulsa,110,129,153,143,148,137,195,179,149.25
Arkansas,133,147,153,160,160,176,178,189,162
TOTAL AVG,,,,,,,,,
,,,,,,,,,
ADDED SINCE 2018,,,,,,,,2025,
UC Merced,,,,,,,,58,
Villanova,,,,,,,,58,
Santa Clara,,,,,,,,63,
Rutgers Newark,,,,,,,,80,
Illinois Chicago,,,,,,,,80,
NJIT,,,,,,,,84,
Loyola Marymount,,,,,,,,91,
RIT,,,,,,,,91,
USF,,,,,,,,91,
Fla International,,,,,,,,98,
Gonzaga,,,,,,,,98,
Rutgers Camden,,,,,,,,98,
Temple,,,,,,,,98,
