school_name,state,display_rank,sort_rank,is_tied,tuition,sat_score,median_earnings,ht2018,ht2019,ht2020,ht2021,ht2022,ht2023,ht2024,ht2025,avgtk
Princeton University,NJ,1,1,False,65210,1510.0,87815.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Massachusetts Institute of Technology,MA,2,2,False,64730,1520.0,131633.0,5.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.875
Harvard University,MA,3,3,False,64796,1510.0,99572.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.375
Stanford University,CA,4,4,True,68544,1510.0,102887.0,5.0,7.0,6.0,6.0,6.0,3.0,3.0,4.0,5.0
Yale University,CT,4,4,True,69900,1470.0,81765.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,3.875
University of Chicago,IL,6,6,False,73266,1510.0,80870.0,3.0,3.0,6.0,6.0,6.0,6.0,12.0,11.0,6.625
Duke University,NC,7,7,True,73172,1500.0,85792.0,9.0,8.0,10.0,12.0,9.0,10.0,7.0,6.0,8.875
Johns Hopkins University,MD,7,7,True,67170,1520.0,86306.0,11.0,10.0,10.0,9.0,9.0,7.0,9.0,6.0,8.875
Northwestern University,IL,7,7,True,70589,1510.0,76844.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,6.0,9.125
University of Pennsylvania,PA,7,7,True,71236,1510.0,90555.0,8.0,8.0,6.0,8.0,8.0,7.0,6.0,10.0,7.625
California Institute of Technology,CA,11,11,False,68208,,132140.0,10.0,12.0,12.0,9.0,9.0,9.0,7.0,6.0,9.25
Cornell University,NY,12,12,False,72270,1500.0,87830.0,14.0,16.0,17.0,18.0,17.0,17.0,12.0,11.0,15.25
Brown University,RI,13,13,True,74550,1510.0,79131.0,14.0,14.0,14.0,14.0,14.0,13.0,9.0,13.0,13.125
Dartmouth College,NH,13,13,True,71265,1500.0,82541.0,11.0,12.0,12.0,13.0,13.0,12.0,18.0,15.0,13.25
Columbia University,NY,15,15,True,69045,1490.0,,5.0,3.0,3.0,3.0,2.0,18.0,12.0,13.0,7.375
"University of California, Berkeley",CA,15,15,True,55323,,,21.0,22.0,22.0,22.0,21.0,20.0,15.0,17.0,20.0
Rice University,TX,17,17,True,65475,1510.0,79751.0,14.0,16.0,17.0,16.0,17.0,15.0,17.0,18.0,16.25
"University of California, Los Angeles",CA,17,17,True,48674,,,21.0,19.0,20.0,20.0,20.0,20.0,15.0,15.0,18.75
Vanderbilt University,TN,17,17,True,71226,1500.0,73909.0,14.0,14.0,17.0,14.0,14.0,13.0,18.0,18.0,15.25
Carnegie Mellon University,PA,20,20,True,68096,1500.0,105360.0,25.0,25.0,25.0,26.0,25.0,22.0,24.0,21.0,24.125
University of Michigan--Ann Arbor,MI,20,20,True,66203,1360.0,,28.0,27.0,25.0,24.0,23.0,25.0,21.0,21.0,24.25
University of Notre Dame,IN,20,20,True,67607,1455.0,86210.0,18.0,18.0,15.0,19.0,19.0,18.0,20.0,18.0,18.125
Washington University in St. Louis,MO,20,20,True,69594,1500.0,78073.0,18.0,19.0,19.0,16.0,14.0,15.0,24.0,21.0,18.25
Emory University,GA,24,24,True,68056,1470.0,74980.0,21.0,22.0,21.0,21.0,20.0,22.0,24.0,24.0,21.875
Georgetown University,DC,24,24,True,71338,1390.0,83222.0,20.0,22.0,24.0,23.0,23.0,22.0,22.0,24.0,22.5
University of North Carolina--Chapel Hill,NC,26,26,True,45228,1390.0,,30.0,30.0,29.0,28.0,28.0,29.0,22.0,27.0,27.875
University of Virginia,VA,26,26,True,62923,1410.0,72359.0,25.0,25.0,28.0,26.0,25.0,25.0,24.0,24.0,25.25
