Institution,Median Earnings - 6 Years Post-Entry (Scorecard)
Agnes Scott College,41382.0
Allegheny College,45603.0
American University,61328.0
Amherst College,62537.0
Appalachian State University,43663.0
Arizona State University,52843.0
Auburn University,54629.0
Babson College,91354.0
Bard College,31072.0
Barnard College,60411.0
Bates College,59202.0
Baylor University,56532.0
Beloit College,41660.0
Bennington College,24711.0
Bentley University,86679.0
Berea College,35676.0
Berklee College of Music,26462.0
Binghamton University,61621.0
Boise State University,45251.0
Boston College,85717.0
Boston University,65655.0
Bowdoin College,61692.0
Brandeis University,52967.0
Brigham Young University-Provo,58450.0
Brown University,79131.0
Bryant University,66488.0
Bryn Mawr College,53102.0
Bucknell University,78852.0
Butler University,61627.0
California Institute of Technology,132140.0
California Institute of the Arts,28018.0
California Polytechnic State University-San Luis Obispo,72358.0
California State Polytechnic University-Pomona,54466.0
California State University-Fresno,44012.0
California State University-Fullerton,48558.0
California State University-Long Beach,50062.0
California State University-Los Angeles,45702.0
Carleton College,53989.0
Carnegie Mellon University,105360.0
Case Western Reserve University,75613.0
Catholic University of America,63217.0
Centre College,50073.0
Champlain College,48844.0
Chapman University,58080.0
Claremont McKenna College,87603.0
Clark University,49022.0
Clarkson University,76970.0
Clemson University,58311.0
Colby College,60052.0
Colgate University,64949.0
College of Charleston,43821.0
College of the Holy Cross,69984.0
College of William and Mary,62959.0
Colorado College,47611.0
Colorado School of Mines,82950.0
Colorado State University,49748.0
Columbia University in the City of New York,88535.0
Connecticut College,49165.0
Cooper Union for the Advancement of Science and Art,39707.0
Cornell College,39299.0
Cornell University,87830.0
Creighton University,63090.0
CUNY Bernard M Baruch College,61542.0
CUNY Hunter College,50414.0
Dartmouth College,82541.0
Davidson College,62866.0
Denison University,51352.0
DePaul University,54695.0
DePauw University,58476.0
Dickinson College,57110.0
Drake University,58233.0
Drew University,47562.0
Drexel University,69063.0
Duke University,85792.0
Duquesne University,62627.0
Earlham College,35430.0
East Carolina University,46420.0
Eckerd College,37505.0
Elizabethtown College,54833.0
Elon University,58082.0
Embry-Riddle Aeronautical University,65391.0
Emerson College,42799.0
Emmanuel College,50180.0
Emory University,74980.0
Fairfield University,73693.0
Fashion Institute of Technology,50102.0
Florida Atlantic University,45647.0
Florida Institute of Technology,41941.0
Florida International University,47768.0
Florida Southern College,47749.0
Florida State University,49814.0
Fordham University,68008.0
Franklin and Marshall College,62544.0
Franklin W Olin College of Engineering,105483.0
Furman University,50796.0
